vo,route_id,F_Class,Urban_Type,Fd_Aid_Rd,Control,Num_Lanes,Opp_Lanes,Surface_Tp,Surface_Wd,Shldr_Rt_W,Shldr_Rt_T,Shldr_Lt_W,Shldr_Lt_T,Shldr_UL_W,Shldr_UL_T,Med_Width,Med_Type,Curb,Lt_Sidewlk,Rt_Sidewlk,Terrain,Toll_Road,City,County,AADT,AADT_Year,Length
1,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,148,3,,,1.7199191
2,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,148,3,,,0.3826438
3,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,58,3,,,0.2764292
4,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,58,3,,,1.2972487
5,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,58,3,,,0.4063142
6,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,58,3,,,1.0782361
7,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,58,3,,,0.4664555
8,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,58,3,,,0.2299083
9,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,58,3,,,2.4241896
10,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,58,3,,,0.002042
11,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,58,3,,,0.0056074
12,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,58,3,,,0.2905202
13,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,4,3,,,1.5340816
14,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,4,3,,,0.3926753
15,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,4,3,,,0.1573096
16,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,4,3,,,0.1748062
17,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,4,3,,,0.4447245
18,B0001,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,4,3,,,0.6947535
19,B0002,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,253,11,,,1.5016067
20,B0003,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,253,11,,,0.624776
21,B0004,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,253,11,,,0.3440037
22,B0005,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,22,3,,,0.7808944
23,B0006,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,279,13,,,1.1912509
24,B0006,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,279,13,,,1.899153
25,B0006,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,279,13,,,0.4508041
26,B0006,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,279,13,,,0.7245658
27,B0006,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,279,13,,,1.0457329
28,B0006,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,279,13,,,0.8302588
29,B0006,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,329,13,,,0.3403773
30,B0006,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,329,13,,,0.7351811
31,B0007,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,329,13,,,0.6829446
32,B0008,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,5,13,,,1.7029246
33,B0008,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,5,13,,,0.0347231
34,B0009,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,2.40E-05
35,B0009,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,85,13,,,0.3666768
36,B0009,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,85,13,,,0.1074676
37,B0009,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,85,13,,,0.4753091
38,B0009,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,85,13,,,0.3833913
39,B0009,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,85,13,,,0.7112672
40,B0009,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,85,13,,,0.6660085
41,B0009,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,85,13,,,0.6629732
42,B0009,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,85,13,,,0.2811499
43,B0009,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,0.0001036
44,B0010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,281,13,,,1.7386605
45,B0010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,281,13,,,0.1539775
46,B0010,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,281,13,,,0.0015371
47,B0010,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,281,13,,,0.6552551
48,B0010,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,281,13,,,0.0016747
49,B0010,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,2,,281,13,,,0.0019956
50,B0010,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,281,13,,,1.1806266
51,B0011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,61,13,,,0.2175411
52,B0011,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,61,13,,,1.0380957
53,B0012,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,1,,137,13,,,0.1889721
54,B0013,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,137,13,,,0.0624675
55,B0013,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,137,13,,,4.633238
56,B0013,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,137,13,,,0.3105632
57,B0013,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,137,13,,,1.612877
58,B0013,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,0.0002755
59,B0014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,276,15,,,0.1081403
60,B0014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.6200214
61,B0014,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.5001882
62,B0014,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.4149392
63,B0014,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.1010516
64,B0014,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.9153385
65,B0014,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.0670913
66,B0015,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.3780812
67,B0015,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.3437158
68,B0015,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.2095961
69,B0015,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.1150999
70,B0015,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,1.1002052
71,B0016,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.3224418
72,B0016,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.5748965
73,B0016,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.0013451
74,B0016,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,87,15,,,0.0597475
75,B0016,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,1.5555016
76,B0016,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0103716
77,B0017,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.2794781
78,B0017,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.1240982
79,B0018,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.1201315
80,B0018,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.1669202
81,B0018,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.2421209
82,B0019,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0049026
83,B0019,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.8536374
84,B0019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0686903
85,B0019,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0250014
86,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0044034
87,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0064815
88,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.4871579
89,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.1596363
90,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0955476
91,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.1609544
92,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.20374
93,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.4719314
94,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0322828
95,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.2147309
96,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.2630286
97,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.5097419
98,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0448132
99,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.1103298
100,B0020,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.874034
101,B0020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0030105
102,B0020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0091906
103,B0020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.2316529
104,B0020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0039264
105,B0020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0319951
106,B0021,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.1774613
107,B0021,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0071606
108,B0021,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0949563
109,B0022,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,2,,214,15,,,0.034368
110,B0023,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.1703182
111,B0024,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,3,,214,15,,,0.0240818
112,B0024,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.2158527
113,B0024,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.1869404
114,B0024,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0260296
115,B0024,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0041689
116,B0024,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.0291975
117,B0025,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.1856258
118,B0025,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.9657599
119,B0025,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.5638699
120,B0026,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.2961294
121,B0026,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.3487351
122,B0026,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,214,15,,,0.2407655
123,B0026,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,117,15,,,0.373517
124,B0026,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,117,15,,,0.8014373
125,B0026,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,117,15,,,0.0274201
126,B0026,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,117,15,,,0.3768512
127,B0026,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,117,15,,,0.3919678
128,B0026,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,117,15,,,0.503557
129,B0026,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,117,15,,,1.1483442
130,B0026,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,117,15,,,0.8341723
131,B0026,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,8,15,,,0.7765327
