GeneID	206014020-W-Milk	206014056-W-Milk	208013840-W-Milk	208024121-W-Milk	810049338-W-Milk	810049344-W-Milk	811035548-W-Milk	811035585-W-Milk	811035588-W-Milk	812007775-W-Milk	812027644-W-Milk	812027654-W-Milk	207016597-W2-Milk	208000940-W2-Milk	208000943-W2-Milk	208000985-W2-Milk	208001021-W2-Milk	209021318-W2-Milk	209021321-W2-Milk	210004788-W2-Milk	210004789-W2-Milk	210004794-W2-Milk	210004803-W2-Milk	210004816-W2-Milk	b1	b2	b3	207016597-W2-Blood	208000916-W2-Blood	208000940-W2-Blood	208000943-W2-Blood	208000985-W2-Blood	208001021-W2-Blood	209021318-W2-Blood	209021321-W2-Blood	210004788-W2-Blood
ENSBTAG00000000005	2	20	1	12	0	1	1	1	0	1	3	0	0	2	5	2	6	0	1	10	1	4	2	3	469	459	833	1	2	4	2	1	2	0	1	3
ENSBTAG00000000008	2	6	0	1	1	0	0	0	0	1	0	0	0	0	1	2	2	0	1	0	0	0	0	2	1	3	2	4	3	2	0	0	5	5	0	1
ENSBTAG00000000009	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000000010	3	0	1	1	1	0	0	0	0	3	2	0	0	2	0	0	0	0	0	5	4	7	0	2	227	115	205	1	2	0	0	0	3	0	3	1
ENSBTAG00000000011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000000012	1	10	5	1	3	9	2	2	0	2	1	1	7	4	0	9	13	7	6	5	0	0	5	3	111	129	112	2	6	18	1	5	2	2	0	3
ENSBTAG00000000013	3	14	8	10	13	3	1	1	1	9	16	8	18	7	4	8	5	1	1	16	1	9	2	15	933	1336	998	17	18	49	6	37	21	10	9	24
ENSBTAG00000000014	6	9	1	8	2	1	3	0	1	3	8	4	6	6	2	2	4	3	1	8	0	4	1	5	205	102	223	6	2	0	0	0	3	4	2	1
ENSBTAG00000000015	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	11	4	22	0	0	0	0	3	0	1	0	1
ENSBTAG00000000016	8	10	5	0	2	0	7	2	0	8	3	1	0	19	1	32	4	26	7	5	0	12	10	15	15	12	13	56	18	36	20	26	42	30	21	32
ENSBTAG00000000019	1	8	4	9	7	2	1	4	0	0	10	1	26	2	4	8	6	0	2	31	2	7	3	0	835	772	1028	5	6	3	3	3	5	9	6	2
